sūlūde	sul+ud-i
šērāmmi	šērāmmi
ažia	až-i-a
nēravi	nera-ve
eža	eže-a
mānal	man-a=l
migummi	mig-umme
ḫaulillāndu	ḫa-ol-ill-and-o
itkuštum	itk-ušt-o-m
idarrāi	id-ar-i-l-ai
ižuštel	iž-o-ež=dil
adaššene	ad+a+šše-ne-e
tūnāḫḫi	ton-aḫḫ-i
ulānōm	ul+ān-o-m
šellida	šelli-da
iraden	erade-n
ūrmi	ūrmi
tōġadib	tōġ-ad-i-b
kirġivi	kirġe-ve
pullibāe	poli-ne-ve-ae
šidarbul	šidarbu-ž=l
pāġūma	pāġ-u=ma
ōššužanna	ōšš+o+že-a=nna
šūbīniva	šubi-ne-va
kakkari	kakkari
pižirri	pižiri-ne
kišḫinin	kešḫi-ne-n
talmōġa	talm+oḫḫe-a
kaliani	kāli-i-ane
fōrullažul	fōroli-na-až-ož=l
tunōštum	ton-ošt-o-m
ḫiraġella	ḫiraġe-i=lla
mēginež	mēgi-ne-ž
ḫōžia	ḫōž-i-a
aēššam	aēšši-a=m
āšša	āšši-a
ḫavōrunnini	ḫavor+ni-ne-ne
tīda	tīd-a
āġrāilī	aġrā-i-le
šelluġulla	šell+o+ġ+o+li-na
šōruž	šōr-o-ež
āmmīnīn	āmmī-ne-n
tugrižōġa	tugriž+ō+ġe-a
kīgi	kīge
ušḫārīda	ušḫ+ār+i-i-da
tōmva	tōmv-a
miržāl	mirži-a=l
kōlež	kol-i-ež
ḫavōrunnibi	ḫavor+ni-ne-ve
eššaeni	eššae-ne
nubin	nubi-n
pōriba	fōri-i-va
šebāra	šeb-ar-a
piduffa	pid+uff-a
mala	mal-a
arduġiniž	ard+o+ġe-ne-ž
kādūlāīn	kad-o-l-ai-n
ēbriva	evri-i-va
kippinež	kippi-ne-ž
kulmuri	kulm+o+re
fonuġunna	fonuġ+o+ni-na
ḫōruppi	ḫōr-upp-i
tāma	tami-a
emašše	eman+že
ažiġi	až+i+ġe
aramdōm	ar-am-d-o-m
ḫuštenāža	ḫušte-na-až-a
sulūda	sul+ud-a
sibi	sib-i
tēni	tē+ni
pālī	pāli
ūmmēġa	umm-eġ-a
uwallinni	uw+all+i+nni
mādi	mād-i
kirarni	kir+ari+ni
faššara	fašš-ar-a
aīmma	ai=mma
mužuniba	mužoni-va
šāġlēž	šāġli-e-ž
udānab	ud-an-a-b
pišḫi	pišḫ-i
sumġar	sumġar
šelužēda	šel+o+že-i-da
itkulimašši	itk+ul+i+m+a+šše
kuliġiani	kul+i+ġe-i-ane
ēbrinnaža	ever+ni-na-až-a
ḫīla	ḫili-a
mini	mini
mūžēdā	mūž-ed-a
eda	idi-a
fāġōža	faġ-ož-a
fašši	fašš-i
paššarugāra	pašš+ar+ugār+i-a
šēġalumalla	šeġal-umme-a=lla
eġlianaž	eġli+ana-ž
šēra	šēri-a
ḫāiži	ḫa-iž-i
šiašši	šī-a-šše
sōbāra	sōbāri-a
sūwae	sūve-ae
targi	tar+ġe
šēni	šēn-i
kāmmi	kamme
ḫōrāmi	ḫōr-am-i
selmi	selmi
tōġaduppu	tōġ-ad-uffu
kižipsōvāe	kižipsōvae
agulla	aguli-na
kulužašši	kul-ož-a-šše
passūwa	pass-u-a
tēġuššeni	tēġ+o+šše-ne
kūliamma	kul-i-a-mma
taġavure	taġav+o+re
nālli	nāli-ne
tazakkaštura	tazakkašturi-a
avarrašta	avari-na-až-da
ežābēma	iža-ve=ma
fažamma	fāži-a=mma
ḫōšti	ḫōšti
egunniž	eg+o+nni-ž
ištanīma	ištani-i=ma
šāladeni	šālade-ne
ōšši	ōšš-i
ḫārapḫāīb	ḫār+a+ġe-ve-ae=v
laġlaḫḫini	laġlaḫḫi-ne
uniġiž	un+i+ġe-i-ž
agiden	ag-id-en
naḫḫa	naḫḫ-a
ḫuwe	ḫō-i
kibe	kev-e
kirarnež	kir+ari+ni-i-ž
širnib	šīr+ni-v
ḫālōli	ḫālōli
užōna	už-on-a
ašḫužikkuninibi	āšḫ+ož+i+kk+o+nni-ne-ve
šeġala	šeġal-a
šikkinažan	šikki-na-až-a=an
armimmi	arm+i+mmi
šarra	šarri-a
iška	išk-a
tarriž	tāri-ne-ž
ḫāžarri	ḫāž+arri
ažānēdāw	až-an-ed-aw
tāgōri	tāg+ō+re
egōna	eg-on-a
šildanurum	šil-d-an-ur-o-m
murrīe	murri-i-e
ulluġužibāe	oll+uġ+o+že-ve-ae
tapḫa	tapḫi-a
lullueneve	lullue-ne-ve
keššenīel	kešše-ne-ž=l
anziġiaž	anz+i+ġe-i-až
irde	irde
ūrrugivuwi	ūrrugi-iffu-ve
mātta	mād-d-a
ḫōdenažāi	ḫōde-na-až-ve-ae
mānuž	manu-ž
taržuwannež	taržuwa+ni-ne-ž
sōīb	sōī-v
katkāi	kat+ki-ae
ḫapsurib	ḫapsōri-v
šarra	šarr-a
ḫōenēva	ḫowe+ni-e-va
ḫōruppi	ḫūruffe
tāġa	tāġ-a
kābarra	kābari-na
nutkiġa	nutk+i+ġe-a
āšḫōmainibinidal	āšḫ+ō+m+ai+ni-ve-ne-da=l
ḫinzurulāež	ḫinz-ur-o-l-ai-ž
šōlidu	šōl-id-o
kēlġēdeni	kēlġēdi-ne
fōriffān	fōri-iffe-a=an
anni	anni
tīvollan	tīv-o=lla=an
amašteda	am-ašt-ed-a
sigaldi	sig+al-d-i
suruški	sur+u+ški
nirāe	neri-ae
kirētte	kerētte
ḫōmarida	ḫōmari-da
ḫinimma	ḫenni=mma
abin	avi+n
šūrūži	šūrūže
šāžuda	šo-až-oda
kilūni	kil+ōn-i
sīgila	sīgili-a
ennida	enni-da
awfa	auwi-a
ābi	ābi
ariamma	ar-i-a-mma
iraden	ir-ad-i-en
šālabnira	šālab+ni-i-ra
ḫēlištu	ḫēl-išt-o
amīri	amīri
ište	ište
kirarinni	kir+ar+i+nni
itkidu	itk-id-o
alubasḫini	al+u+b+a+sḫi-ne
ardūri	ard-ur-i
ḫalandi	ḫalandi
urūbi	urūbi
avāštum	av-ašt-o-m
šūrnīma	šūrni-i=ma
tawti	taudi
anaḫḫužellae	an-aḫḫ-ož-ill-i-ai
pāġana	pāġani-a
abin	avi=n
ḫāžimmie	ḫāži+mmi-e
ārrida	āri-ne-da
šīna	šī+ni-a
ērni	ērni
ḫīla	ḫil-a
pizigarra	pizigarra
šālada	šāla-da
purrēnni	pur+i+rē+nni
erade	erade
ḫassizi	ḫassizi
šōra	šōr-a
sablungi	sabl+ung+i
ḫebad	ḫebad
uššulēž	ōšš-o-l-ež
ḫebattenažuž	ḫebad-ve-na-až-ož
ḫellidi	ḫill-ed-i
āššōlāež	āšš-o-l-ai-ž
nikkal	nikkal
šidōri	šid+ō+ri
fažūlima	faž-ul-i=ma
irġāri	irġāri
kiraššulaēž	kir+ašš-o-l-ai-ž
ḫaštalli	ḫašt-al-i-le
pārendūž	pār-ind-o-ež
egužri	egužri
igida	egi-da
pirugāra	pir-ugar-a
ḫažari	ḫāž+ar+i
ubugarženi	ub+ugar+že-ne
ažōġiž	ažōġi-i-ž
ubīn	ove=n
idedi	id-ed-i
šēġa	šēġa
tābīw	tab-i-o
arian	ar-i-en
mādinaža	mādi-na-až-a
keššenišša	kešše-ne-ž=nna
ḫīžāri	ḫīž+ār+i
pātte	patte
ēḫḫa	ēḫḫi-a
uġni	oġ+ni
šēġan	šēġa-n
tara	tāri-a
taduġebābi	tado.ḫeba-ve
ežuġnež	ižuġ+ni-ž
āpsukkuž	āpsukki-ož
kilōlu	kēl-ol-o
ḫanniž	ḫani-ne-ž
ḫawsuġa	ḫauz+o+ġe-a
šukkuttattam	šukk+utti-a=tta=m
ḫelda	ḫild-a
murrāe	mor-i-l-ai
ālva	ālv-a
aġarrež	aġri-ne-ž
naktib	nakti-v
tōpšida	tōpš-ed-a
teššub	teššob
ēmmanzeneva	eman+že-ne-va
kumruḫḫāl	kumr+o+ḫḫe-a=l
aġarribi	aġri-ne-ve
nēbāži	nēb+ā+že
paruž	pari-ož
ḫalminibi	ḫal+mi-ne-ve
pirrib	piri-ne-e=v
tebušḫāi	tiv+o+šḫi-ae
tivivudab	tive-v-oda=m
kumdi	kūm+de
tēġulla	teġ-ull-a
nakkidaššu	nakk-ed-aššo
alummai	al-o+m+ai
itkōlāi	itk-o-l-ai
nudanzaġīvan	nudan+z+a+ġe-i-va=an
āššōribi	āššōri-ve
pāži	fāži-i
eradāe	erade-ae
šinzamma	šin+ze-a=mma
fenda	pend-a
sulōženie	sul+ō+že-ne
aruwallāena	aruwallāe-na
ari	ari
pāžiba	fāži-va
nīġriažīel	nīġr+i+a+že-i=l
kivori	kev-o-re
awtuwi	audūi
kubaġāe	kub-aġ-i-ai
sulgi	sul+gi
šeġruž	šeġri-ož
tāžae	taže-ae
talavožināži	talāv+o+že-na-až-ve
ummallidašše	umm-all-ed-a-šše
fōrida	fōri-da
kanagitḫi	kanagitḫe
urunnida	or+o+nni-da
sāžulōža	sāz-ol-ož-a
šāli	šāli
sēži	sēži
tāli	tāle
kūlīna	kuli-na
ārdenibina	arde-ne-ve-na
šōva	šowa
kažidabima	kažidabi=ma
itkalzinivināžummin	itkal+zi-ne-ve-na-až-ož=mma=an
ašḫunilla	ašḫo-ne-e=lla
ārrivaž	ar-i-l-eva-ž
nirida	neri-da
ideda	idi-da
nilōž	nil-o-ež
šidāra	šid-ar-a
ugulgul	ugulg-o=l
uēkki	uwēkki
ažuri	až-o-re
ažanub	až-an-o-m
alālae	alāli-ae
ḫōrruštāw	ḫōrr-ošt-aw
urgina	urgi-na
eguššulāež	eg+o+šš-o-l-ai-ž
šēġaludiž	šeġal-ud-i-ež
itkalzinibinež	itkal+zi-ne-ve-ne-ž
šurbigina	šurbigi-na
kūgukku	kūg-o-kko
kula	kuli-a
indannim	ind+a+ni-ne-e=m
aōl	aō=l
itta	itt-a
ummallidašše	umm+all+id+a+šše
fažab	faž-a-b
mirulavāl	mir+ul+avi-a=l
fōri	fōri
ḫibulēž	ḫib-o-l-ež
šiminež	šimi-ne-ž
enad	eni-a=d
kuruppa	kur-upp-a
ebāni	ebāni
ubūža	ub-ož-a
umbōž	umbi-ož
šīġāi	šēġ-i-ai
tīvenniva	tive-ne-va
uriu	ur-i-o
šeġelza	šeġel+zi-a
ḫūžia	ḫūži-i-a
kammaḫḫinež	kamm+a+ḫḫe-ne-ž
širadili	šir+ad-i-le
šāišḫi	šā+i+šḫe
nāva	nav-a
īama	īa=ma
naveda	nave-da
māduwa	mād-u-a
āšti	āšte-i
ōššōšti	ōšš-ošt-i
āšḫitḫini	āšḫ+i+tḫe-ne
tapšuržai	tapš+ur+že-ae
inzarra	en+zari-na
nakkiwfošša	nakk-i-uffu-ž=nna
ḫudidaw	ḫōd-ed-aw
ḫuwe	ḫowe
ažuġiniva	až+oġi-ne-ve-a
ištuma	ištumi-a
šēalidin	šē-al-id-en
amissaduž	amissadu-ž
muwiri	mū+i+re
pāžib	fāži-v
kulmōrrin	kulmōri-ne-n
šidarni	šid+ar+ni
tālāḫḫīb	tal+āḫḫ-i-b
talabōžinažuž	talāv+o+že-na-až-ož
šumunnež	šumni-ne-ž
težuġarġida	tež+uġ+ar+ġe-da
ebirna	ever+ni-a
tēa	tiye-e-a
nāuffa	nā-uff-a
šummīda	šummi-i-da
ḫōidu	ḫō-id-o
ēbrināžōnna	ever+ni-na-až-onna
nūwarrīvan	nūv+ar+i-ne-va=an
futkiž	fut+ki-i-ž
nakkidūwa	nakk-ed-u-a
idenni	idenni
fārie	fāri-e
ḫāra	ḫār-a
ōllini	ōlli-ne
ōġni	ōġ+ni
tarallibi	tarali-ne-ve
tāġa	tāġe-a
puġuiridama	puġuiri-da=ma
nōvarēm	nōv+ar+ē=m
šindižūwad	šindi+ž+ūwi-a=d
suppini	suppi-ne
ḫara	ḫāri-a
kēnnādal	kēnn+ār+i-a=l
magaldinibād	magaldi-ne-va=d
kamveda	kamv-i-d-a
ḫaštalli	ḫašt+al+i-ne
tabiribuwi	tab+i+re-iffu-ve
šeġla	šeġli-a
šōraššella	šōr+a+šše=lla
ižīma	iž-i=ma
fōrīman	for-i=m=an
mandukkaella	mandukki-ae=lla
kakkara	kakkari-a
āššaniba	āšš-an-i-eva
udipšarran	udip.šarra-a=an
tānumāgāi	tānumāgi-ae
ḫōbrib	ḫōbri-v
paššiġiani	pašš+i+ġe-i-ane
tīdida	tidi-da
māli	mali
fāžīva	fāži-i-va
tubinažuž	tōbi-na-až-ož
tažmežarri	tažmi.šarri
univia	univi-i-a
pendidu	pend-id-o
tūrīn	tūri-n
agōži	ag-ož-i
sanzāmi	sanzāmi
ḫažimma	ḫaž-i+m+ai
eġlibinibina	eġli-ve-ne-ve-na
karapteda	kar+apt-ed-a
igina	igi-na
ānzamma	anzi-a=mma
tōbāe	tōbi-ae
negri	negri
ḫōrražalla	ḫōri-na-až-a=lla
fūru	fūr-u
enitḫarra	en+i+tḫ+ar+i-na
inġara	inġ+ar+i-a
itkulundašši	itk-ol-u-nd-a-šše
ežuġni	ižuġ+ni
lablaḫḫinež	labla+ḫḫe-ne-ž
pāžannel	fāžani-ne-e=l
igingališḫenāma	igingališ-ġe-na=ma
šiurivain	ši-ur-i-va-en
tīa	tiye-i-a
šāvālli	šavli-ne
tevena	tive-na
šōi	šō-i
itkinduž	itk-ind-o-ež
nuladenež	nul+ade-ne-ž
sōbinēra	sōve-ne-ra
taġēnivāl	tāġe-ne-va=l
tābužudam	tab-ož-ud-a=m
uria	ure-a
šummini	šummi-ne
ažōġiž	až-oġ-i-ež
nabarbi	nabarbi
ḫōrvāde	ḫōrv+āde
ḫōmari	ḫōmari
ḫižarduġullēbi	ḫiž+ar+d+o+ġ+o+li-ne-ve
eġlibi	eġli-ve
agum	ag-o-m
šurbēgi	šurbēgi
nāžarni	nāž+ar+ni
tāžini	tāže-ne
ittilāe	itt-i-l-ai
ḫōpšineva	ḫōpši-ne-va
ōllini	oli-ne-ne
šurba	šurb-a
alzialli	ālžīālli
ḫēġōži	ḫēġ+ō+že
tadireškinibāe	tad+ir+e+ški-ne-ve-ae
faššara	fašš+ar+i-a
ḫōdellurražuž	ḫōdellori-na-až-ož
mužunniba	mužoni-ne-va
ašḫōnan	ašḫo-n=an
tālina	tāle-na
ḫavorunnima	ḫavor+ni-ne-e=ma
tapšāġina	tapš+āġ+i-na
kalgamižul	kalgamiž-ož=l
fāžuž	faž-o-ež
težuġarġi	tež+uġ+ar+ġe
ārdima	arde=ma
šōvaib	šowa-ae=v
šuġunnež	šōġoni-ne-ž
šīedi	šī-ed-i
teššōbaž	teššob-až
ḫīdam	ḫīdam
tadugarāe	tad+ugar+i-ae
uzi	uzi
nūduža	nūd+o+že-a
kikkunima	kikk+o+ni=ma
ūmmumaššiniva	ūmm+um+a+šše-ne-va
arāgi	arāgi
šeġalamma	šeġali-a=mma
kadānu	kad-an-o
attaippināža	atta+i-v-ve-na-až-a
šiummeni	šī-umme-ne
fōrunziġi	fōrunz+i+ġe
kadimma	kad-i=mma
kilānež	kil+ān-i-ež
katta	kad-id-en
šūre	šuri
apsižnāġi	apsižnā-ġe
ševerrāže	ševeri-na-až-ve
tipšar	tip+šari
paria	pāri-i-a
kirenze	kire+n+ze
adal	ad-a=l
ardūri	ardūri
kāža	kāž-a
ižammi	iža+mme
šuēž	šōe-ž
išteniffāmma	išteni-iffe-a=mma
šarrašši	šarr+a+šše
ḫaburni	ḫavor+ni
eġlibinibināža	eġli-ve-ne-ve-na-až-a
pāenippa	pāeni-v-va
itkummi	itk-umme
tattin	tad-id-en
kelde	kēl-d-i
ḫōžuni	ḫōž-on-i
uwa	uwi-a
aribiblaž	arib.ebla-ž
simidaduž	simidadi-ož
šēġalubada	šēġal+o+bade-a
šeġellibina	šeġli-ne-ve-na
agib	ag-i-b
šerrē	šēri-ne
pēdāri	ped+ar+i
teġeštab	teġ-išt-a-b
naunnibi	nau+ni-ne-ve
taġuwadinēda	taġ+o+vadi-ne-da
nābu	nāb-u
sazulda	saz+ul+di-a
tamgarida	tamgāri-da
īamma	īa=mma
tānu	tānu
ḫenzā	ḫenz-a
šiānima	šiāni=ma
amarikkuwanin	amarikkuwa-ne-n
šarrēna	šarrē-na
pišḫi	pišḫi
egušši	eg+o+šš-i
suḫḫinie	suḫḫi-ne
ašteniva	āšte-ne-va
kiškižiaššenina	kiš+kiž+i+a+šše+ni-na
īad	īa=d
nuġunab	nuġ+o+ni-a=m
ḫōruwāda	ḫōr+o+vāde-a
ileška	ileški-a
purammib	pura+mmi-v
turuḫḫina	tor+o+ḫḫe-na
teba	tebe-a
ḫutḫiž	ḫutḫ-i-ež
kadīw	kad-i-o
ūrdaššinēlla	ūrd+a+šše-ne-ž=lla
anamma	anam=ma
alġi	alġi
attānima	atta+ni=ma
favanašta	paba+ni-na-až-da
adašši	ad+a+šše
paššarugāra	pašš-ar-ugar-a
šavuškava	šavoška-va
abinie	abi-ne
puduž	fud-o-ež
nūrbiniž	nūrbi-ne-ž
tidiam	tidi-i-a=m
titta	titt-a
tibāġōm	tiv-aġ-o-m
pāġrōžinež	faġr+o+že-ne-ž
ḫibaptenida	ḫebad-ve-ne-da
nāniž	nāni-ž
šubrianaž	šubri+ana-ž
mādena	mādi-na
nērida	nēr-ed-a
fažumai	faž-o+m+ai
teḫpa	teḫp-a
šadanniž	šadani-ne-ž
sablašši	sabl+a+šše
tunitḫibe	tun+i+tḫe-iffe
kadib	kadi-v
ḫideneve	ḫide-ne-ve
ḫāžarridal	ḫāž+arri-da=l
sakkandi	sakkandi
tāġēma	tāġe=ma
pāinniž	paini-ne-ž
šōima	šōe=ma
unel	un-i=l
sōššiuž	sōšši-i-ož
nerīda	nera-i-da
ḫōbidōda	ḫōbidōdi-a
uššōm	ōšš-o-m
fōrulžarražan	fōrol+žari-na-až-a=an
taržuwannaža	taržuwa+ni-na-až-a
itkanzalla	itkan+zi-a=lla
egi	egi
šauška	šavoška
ai	ai
arīvin	arīvi-n
nakkašḫa	nakk+a+šḫe-a
attāne	atta+ni
taġažīb	tāġ-až-i-b
ḫōdōma	ḫōd-o=ma
šōġuri	šōġori
putki	fut+ki
ḫāigalli	ḫāigali-ne
tamrian	tamri-i-a=an
šummi	šummi
elamirġena	elm+ir+ġe-na
parissade	pariss+ade
teġulli	teġ+ol+i-ne
ḫāžažimmi	ḫāž+až+i+mmi
tiba	tiv-a
uminna	omini-na
ḫārēni	ḫāri-e-ne
inibāi	ini-ve-ae
ninuwaġinešša	ninuwa+ġe-ne-ž=nna
ammatti	ammatte
aīb	ai=m
irbīnāža	ervi-na-až-a
ažmunigalōn	ažmo.nigalō=n
ḫennēma	ḫenni=ma
uštanēdi	ošt-an-ed-i
azaldēda	az-al-d-ed-a
ārnil	ārni-i=l
ebrež	evri-ž
šaburna	šabur+ni-a
fašši	fašši
šīġāi	šēġa-ae
šāri	šār-i
ōšše	ōšš-e
āšḫun	ašḫo-n
tāġiba	tāġe-i-va
šōima	šōe=ma
itkalzibāi	itkal+zi-ve-ae
uġōžamāšši	oġ+ōž+a+mā+šše
ḫāpšī	ḫapš-i
mōrrinibādel	mōrri-ne-va=dil
aluma	alu-o+m+ai
ḫēbādōi	ḫēbādu-ve
kumarvenella	kumarve-ne-ž=lla
ḫeiaruḫḫi	ḫi+ar+o+ḫḫe
šōrra	šōri-na
šukkuttattam	šukk+utt-a=tta=m
adal	ade-a=l
šōnia	šō+ni-i-a
ḫōnžini	ḫōnži-ne
ḫōrvini	ḫōrvi-ne
turžē	turžē
ḫōdannaražāe	ḫōd+a+nn+ar+a+že-ae
kōppannal	kōpp+a+nni-a=l
pāžia	faž-i-a
katkinažuž	kat+ki-na-až-ož
ue	ue
paibiblan	paib.ebla=an
šindiž	šindi-i-ž
šōlli	šolli
nažāgi	nažāgi
pēġi	pēġi
kulumbi	kul+u+mb-i
enudōbin	en+ud-o-va-en
sōnni	sōni-ne
šukka	šokk-a
ḫōraīa	ḫōra-i-a
kuldum	kul-d-o=m
šeġalummālla	šeġal-o-m-a=lla
mōrri	mōri-ne
fovāi	fovi-ae
ḫāžuža	ḫaž-ož-a
šūnīda	šō+ni-i-da
talēnež	tale-ne-ž
šumallam	šumali-na=m
uššeššinida	ušš+e+šše-ne-da
suzōnni	suss+ō+nni
ulme	ūl+me
ḫāšši	ḫa-a-šše
inġad	inġ-a=d
sāzulōšteri	sāz-ol-ošt-i-re
šummera	šummeri-a
temgiaža	tem+gi-i-až-a
tugalla	tug-a=lla
šebāra	šeb+ār+i-a
arbarra	arb+ar+i-na
nuwinduž	nū-ind-o-ež
šalġulēž	šalġ-o-l-ež
talinaža	tāle-na-až-a
palaġa	pal-aġ-a
mērež	mēr-i-ež
kāni	kāni
mandukkimma	mandukki=mma
ēbrinna	ever+ni-na
udepšarrāl	udip.šarra-ž=l
ižena	iže-na
sāzin	sāz-i-en
padni	padni
amudum	am-ud-o-m
tōrōbinibi	torove-ne-ve
eže	eže
āšḫōmain	āšḫ-o+m+ai-n
karapteda	karapte-da
šēria	šēr-i-a
umina	omini-a
šīġa	šīġi-a
aēššam	ave-ž=nna=m
ōššukkam	ōšš-o-kko=m
amulēž	am-o-l-ež
aiwpa	aiu-va
ašḫužikkunnima	āšḫ+ož+i+kk+o+nni=ma
kiražima	ker+ā+že=ma
māġri	māġri
lallarrež	lallari-ne-ž
ḫapšārūwa	ḫapš-ar-u-a
una	un-a
ḫupši	ḫupš-i
pindun	pend-o=n
ḫōbri	ḫōbri
subnīa	subn-i-a
ōrdōbōr	ōr+d-o-vor
mannamištun	mannamištu=n
kēbina	kēbi-na
immandena	immande-na
uīrrivenāža	uwīri-ne-ve-na-až-a
telippa	tel-i-b=ma
areššal	ar-i-ež-a=l
azallin	az-al-i-le=n
šešfe	šešfe
timarri	timeri-ne-e
šōvae	šowa-ae
šēri	šēri
kinnāri	kinn+ār+i
kirunna	kir-o=nna
paibiblaž	paib.ebla-ž
sugazūganišša	suga+zūg-an-i-šše-a
karži	karži
ari	ar-i
šabla	šavli-a
āžri	āžri
ḫāža	ḫāži-a
ḫutḫiž	ḫutḫi-i-ž
šōduštiēž	šōd-ošt-i-ež
kumarbinive	kumarve-ne-ve
pudūri	fud-o-re
šinnaġinippaž	šinnaġi+ni-iffe-až
kadulen	kad-ol-i-en
pēdarriž	ped+ar+i-ne-ž
uštedia	uštedi-i-a
azusḫi	azusḫi
ubina	obi-na
tāġinibinež	tāġe-ne-ve-ne-ž
purġa	purġ-a
idi	id-i
pindaulda	pend-aʾ-ol-d-a
tāġibāe	tāġe-ve-ae
išti	ištani-i
alurina	al+o+re-na
kunzimai	kunz-i+m+ai
egi	egi
faeli	fael-i
eliškaella	eliški-ae=lla
taġōbi	taġōbi
mānōl	man-ož=l
šīrnamma	šīr+ni-a=mma
nawnībuwe	nau+ni-i-e
nāli	nāli
ḫanumbasḫida	ḫan+u+mb+a+sḫe-da
kāža	kāži-a
alulda	al-ol-d-a
abima	ave=ma
tali	tale
uža	už-a
pāri	pār-i
ḫelda	ḫilde-a
kešḫidan	kešḫi-dan
abriāži	abri-i-až-ve
fandarinināma	fand+ar+i+nni-na=ma
šallaena	šallae-na
faġruwāde	faġr+o+vāde
agab	ag-a-b
agulūwa	ag-ol-u-a
āssarōḫḫa	āss+ar+ō+ḫḫe-a
avalġa	av+al+ġe-a
paġruž	faġr-o-ež
alikki	al-i-kki
pāra	pāri-a
teeia	tē-i-a
ažulain	až-o-l-ai-n
āni	āni
sālī	sāli
pāžinida	pāže-ne-da
ene	eni
šeġlu	šeġ+l-u
kulmu	kulm-o
unib	un-i-b
simidada	simidadi-a
milulādu	mil-ol-ad-o
kužapḫi	kužaġ-ve
kiluffa	kēl-uff-a
munuž	mun-o-ež
tupḫa	tupḫi-a
mēginella	mēgi-ne-ž=lla
neġirna	neġer+ni-a
paria	par-i-a
kažla	kažl-a
igi	igi
šatti	šātt-i
šilaġugarilla	šil-aġ-ugar-i=lla
nēlaban	nēla-v-a=an
šindāib	šindai=v
ōšši	ōšši
azamaruliēž	az-am-ar-o-l-ež
uētta	uwētti-a
šašfe	šašfe
kenna	keni-na
ašḫuidan	ašḫo-i-dan
išḫara	išḫara
ḫīžāri	ḫīž-ar-i
itkundōri	itk+und+o+re
faštu	fašt-o
kapšinina	kapši-ne-nna
namla	namli-a
šilāġi	šil-aġ-i
pēġi	pēġ-i
eževabun	ežeb.ābu=n
amuwīn	am-o-en
ḫalzinibi	ḫalze-ne-ve
šindai	šindai
tižab	tiža-v
eradiniž	erade-ne-ž
tūmniažūž	tomni-i-až-ož
turuḫḫe	tūr+o+ḫḫe
alulū	al-ol-u
šabadnimma	šabad+ni=mma
farinināma	uw+ar+i+nni-na=ma
paġmi	paġmi
irveniž	ervi-ne-ž
nirġa	nirġi-a
šagumženež	šag+um+že-ne-ž
ḫāib	ḫa-i=m
ḫēaraštēda	ḫē-ar-ašt-ed-a
īllulia	īll-ol-i-a
attaivi	atta+i-i-ve
fudarinalla	fud+ar+i+nni-a=lla
tālūlīžanna	tāl+ūl+ī+že-a=nna
tamgarrida	tamgāri-ne-da
naiġēna	na+i+ġē-na
eguššinažuž	eg+o+šše-na-až-ož
attaebini	atta+i-i-ve-ne-e
tēna	tē+ni-a
itkalzinibinažuž	itkal+zi-ne-ve-na-až-ož
pāttarribi	pāttari-ne-ve
tabrāna	tabrani-a
kikkuġēda	kikk-oġ-ed-a
kamēnež	kamme-ne-ž
ḫāḫḫiniž	ḫāḫḫi-ne-ž
šeġalaššiġinimma	šeġal+a+šše+ġe-ne-e=mma
