form	segmentation	feats
agulūwa	ag-ol-u-a	verb;ol;MED;3A.SG
agum	ag-o-m	verb;TR.PFV;3A.SG
aguma	ag-o+m+ai	verb;CVB
agumaīm	ag-o+m+ai=m	verb;CVB;2SG.ABS
agunna	ag-o=nna	verb;MOD.PAT;3SG.ABS
agāve	aga-ve	noun;GEN
agōž	ago-ž	PRON;ERG
agōža	ag-ož-a	verb;PST;3A.SG
agōži	ag-ož-i	verb;PST;ANTIP
agūmālla	ag-o-m-a=lla	verb;TR.PFV;3A.SG;EPNTH;3PL.ABS
agūrna	ag+ūr+ni-a	noun;ESS
ai	ai	CONJ
aia	aia	noun;ABS
aiangurin	aianguri=n	noun;ABS;3SG.ABS
aigalduba	aigaldu-va	noun;DAT
aigalduda	aigaldu-da	noun;DIR
aima	ai=ma	CONJ;CON
aimān	ai=m=an	CONJ;2SG.ABS;CON
aiuda	aiu-da	noun;DIR
aiwpa	aiu-va	noun;DAT
aiwpi	aiu-ve	noun;GEN
akkadeni	akk+ade-ne	noun;ABL/INS
akki	ākki	PRON;ABS
alaluž	alalu-ž	noun;ERG
alamuž	alami-ož	noun;EQU
alda	aldi-a	noun;ESS
alda	ald-a	verb;INT
aldāi	aldi-ae	noun;INS
aldāi	al-d-i-ai	verb;d;MOD.AG;PURP
aliab	alē-a-b	verb;INT;b
alikki	al-i-kki	verb;ANTIP;NEG
alilanum	al+il+an-o-m	verb;TR.PFV;3A.SG
aliptiažal	al+i+pte-i-až-a=l	noun;3POSS;PL;DAT/ESS;3PL.ABS
alipši	al+ipš+i	noun;ABS
allai	ālla+i	noun;ABS
allani	āllāni	noun;ABS
allannida	āllāni-ne-da	noun;RELAT.SG;DIR
allanuḫḫinia	alla+n+o+ḫḫe-ne-va	ADJ;RELAT.SG;DAT
allanzōn	allanzō=n	noun;ABS;3SG.ABS
allanōḫḫi	alla+n+o+ḫḫe	ADJ;ABS
allumāda	allum+āde-a	noun;ESS
allāni	alla+ni	noun;ABS
allīġa	all+ī+ġe-a	noun;ESS
allīġa	all-iġ-a	verb;iġ;3A.SG
alubadinaža	al+o+bade-na-až-a	noun;RELAT.PL;PL;DAT/ESS
alubasḫini	al+u+b+a+sḫi-ne	noun;ABL/INS
alulbi	alulbi	noun;ABS
alulda	al-ol-d-a	verb;ol;PL.A;3A
alulū	al-ol-u	verb;ol;MED
aluma	alu-o+m+ai	verb;CVB
alumain	al-o+m+ai-n	verb;CVB;n
alumbasḫi	al+u+mb+a+sḫe	noun;ABS
alumma	al-umme-a	verb;INF;ESS
alummai	al-o+m+ai	verb;CVB
alummini	al-umme-ne	verb;INF;ABL/INS
alurina	al+o+re-na	noun;RELAT.PL.ABS
aluwīb	alu-i-b	verb;ANTIP;b
alušti	alu-ušt-i	verb;RES;TR.IMP
alvovade	alv+o+vade	ADJ;ABS
alzialli	ālžīālli	noun;ABS
alālae	alāli-ae	noun;INS
alāži	alāže	CONJ
alāži	al+ā+že	noun;ABS
alēōb	alē-o-m	verb;TR.PFV;3A.SG
alġi	alġi	noun;ABS
alġi	alġ-i	verb;ANTIP
alōlašši	al-ol-a-šše	verb;ol;3A.SG;NMLZ.ABS
alōri	al+o+re	noun;ABS
amanniniba	am+a+nni-ne-va	noun;RELAT.SG;DAT
amarikkuwanin	amarikkuwa-ne-n	noun;RELAT.SG;ABL/INS
amarillōm	am-ar-ill-o-m	verb;ITER;INGR;TR.PFV;3A.SG
amattena	ammatte-na	ADJ;RELAT.PL.ABS
amašteda	am-ašt-ed-a	verb;RES;FUT;3A.SG
ambaža	amb+a+že-a	noun;ESS
amelānni	am-i-l-anni	verb;MOD.AG;l;DESID
amissaduž	amissadu-ž	noun;ERG
ammatti	ammatte	ADJ;ABS
ammen	amm-i-en	verb;MOD.AG;3JUSS
ammidi	amm-ed-i	verb;FUT;ANTIP
ammidū	amm-ed-o	verb;FUT;2A.SG
ammum	amm-o-m	verb;TR.PFV;3A.SG
ammummi	amm+u+mmi	noun;ABS
ammummi	amm-umme	verb;INF.ABS
ammurami	ammurami	noun;ABS
ammužikkunne	amm+ož+ikk+o+nni	noun;ABS
ammužima	amm-ož-i=ma	verb;PST;ANTIP;CON
ammēda	amm-ed-a	verb;FUT;3A.SG
amudum	am-ud-o-m	verb;NEG;TR.PFV;3A.SG
amudōbadi	am+ud-o-vade	verb;PAT;ADJ.NEG.ABS
amulēž	am-o-l-ež	verb;MOD.PAT;l;OPT
amulūdōm	am-ol-ud-o-m	verb;ol;NEG;TR.PFV;3A.SG
amumām	am+o+mi-a=m	noun;ESS;CON
amuwīn	am-o-en	verb;MOD.PAT;3JUSS
amānumal	am+ān+umi-a=l	noun;ESS;3PL.ABS
amānumal	am-an-o-m-a=l	verb;an;TR.PFV;3A.SG;EPNTH;3PL.ABS
amīri	amīri	noun;ABS
amōmāb	am+o+mi-a=v	noun;ESS;2PL.ABS
amōža	am-ož-a	verb;PST;3A.SG
amūminēva	amm+u+mmi-ne-va	noun;RELAT.SG;DAT
anagina	anagi-na	noun;RELAT.PL.ABS
anamma	anam=ma	ADV;CON
anammi	anammi	ADV
anammimma	anammi=mma	ADV;2SG.ABS
anamminna	anammi=nna	ADV;3SG.ABS
ananareškinibāe	an+an+ar+i+ški-ne-ve-ae	noun;RELAT.SG;GEN;INS
ananešḫiani	an+an+e+šḫe-i-ane	noun;3POSS.SG;ABL/INS
anaulēž	ana-o-l-ež	verb;MOD.PAT;l;OPT
anaštikki	an-ašt-i-kki	verb;RES;ANTIP;NEG
anaḫḫužellae	an-aḫḫ-ož-ill-i-ai	verb;aḫḫ;ož;ill;MOD.AG;PURP
andi	andi	PRON;ABS
andillam	andi=lla=m	PRON;ABS;3PL.ABS;CON
ani	ani	noun;ABS
anikki	an-i-kki	verb;ANTIP;NEG
aninie	ane-ne	PRON;ABL/INS
annel	anni=l	PRON;ABS;3PL.ABS
anni	anni	PRON;ABS
annim	anni=m	PRON;ABS;CON
annivi	ani-ne-ve	noun;RELAT.SG;GEN
anzangiēž	anz+angi-e-ž	noun;3POSS.SG;ERG
anzini	anzi-ne	noun;ABL/INS
anziġiaž	anz+i+ġe-i-až	noun;3POSS;PL.ABS
anzu	anz-o	verb;MOD.PAT
anzušša	an-z-ož=nna	PRON;PL;ERG;3SG.ABS
anzīma	anzi-i=ma	noun;3POSS.SG.ABS;CON
anzīma	anz-i=ma	verb;ANTIP;CON
appide	appide	noun;ABS
appubin	appubi-n	noun;ABL/INS
apsižnāġi	apsižnā-ġe	noun;ADJ.ABS
apsōenin	apsu-ve-ne-n	noun;GEN;RELAT.SG;ABL/INS
apšena	apše-na	noun;RELAT.PL.ABS
apšeneve	apše-ne-ve	noun;RELAT.SG;GEN
apšēniž	apše-ne-ž	noun;RELAT.SG;ERG
aramdōm	ar-am-d-o-m	verb;FACT;d;TR.PFV;3A.SG
aranziġōba	aranziġō-va	noun;DAT
arbarra	arb+ar+i-na	noun;RELAT.PL.ABS
arda	arde-a	noun;ESS
arde	arde	noun;ABS
ardebāi	arde-ve-ae	noun;GEN;INS
ardeni	arde-ne	noun;ABL/INS
ardinin	arde-ne-e=n	noun;RELAT.SG;DIR/LOC;3SG.ABS
arduġiniž	ard+o+ġe-ne-ž	ADV;RELAT.SG;ERG
ardēn	arde-n	noun;ABL/INS
ardūri	ardūri	noun;ABS
ardūri	ard-ur-i	verb;ur;ANTIP
areššal	ar+e+šše-a=l	noun;ESS;3PL.ABS
areššal	ar-i-ež-a=l	verb;MOD.AG;OPT;EPNTH;3PL.ABS
ari	ari	noun;ABS
ari	ar-i	verb;ANTIP
ariamma	ar-i-a-mma	verb;TR;3A.SG;NEG
arian	ar-i-en	verb;MOD.AG;3JUSS
aribiblaž	arib.ebla-ž	noun;ERG
ariliffa	arili-iffe-a	noun;1POSS.SG;ESS
arire	ar+i+re	noun;ABS
armimmi	arm+i+mmi	noun;ABS
armuž	armi-ož	noun;EQU
armuž	arm-o-ež	verb;MOD.PAT;OPT
arna	arni-a	noun;ESS
arni	arni	noun;ABS
arnāi	arni-ae	noun;INS
aru	ar-o	verb;MOD.PAT
arulib	ar-ol-i-b	verb;ol;ANTIP;b
arulim	ar-ol-i=m	verb;ol;TR.IMP;2SG.ABS
arulli	aruli-ne	noun;ABL/INS
arulli	ar-ol-i-le	verb;ol;MOD.AG;1JUSS
aruluššina	ar-ol-o-šše-na	verb;ol;2A.SG;NMLZ;RELAT.PL.ABS
arulāuž	ar-ol-aw-ž	verb;ol;1A;PL
aruri	ar-o-re	verb;PAT;PTCP.ABS
aruwallāena	aruwallāe-na	noun;RELAT.PL.ABS
aruwallāenama	aruwallāe-na=ma	noun;RELAT.PL.ABS;CON
aružellāim	ar-ož-ill-i-ai=m	verb;ož;ill;MOD.AG;PURP;CON
arāgi	arāgi	noun;ABS
arīvin	arīvi-n	noun;ABL/INS
arīvin	ari-i-ve=n	verb;3POSS.SG;GEN;3SG.ABS
arōlawunna	ar-ol-aw=nna	verb;ol;1A.SG;3SG.ABS
arōluda	ar-ol-u-d-a	verb;ol;MED;PL.A;3A
arōlullub	ar-ol-ull-o-m	verb;ol;ull;TR.PFV;3A.SG
arūlāuž	ar-ul-aw-ž	verb;ul;1A;PL
arūžu	ar-ož-o	verb;PST;2A.SG
arūžušši	ar-ož-o-šše	verb;PST;2A.SG;NMLZ.ABS
assusḫa	assusḫi-a	noun;ESS
assusḫi	assusḫi	noun;ABS
attaebini	atta+i-i-ve-ne-e	noun;3POSS.SG;GEN;RELAT.SG;DIR/LOC
attai	atta+i	noun;ABS
attaibinešša	atta+i-i-ve-ne-ž=nna	noun;3POSS.SG;GEN;RELAT.SG;ERG;3SG.ABS
attaida	atta+i-da	noun;DIR
attaippināža	atta+i-v-ve-na-až-a	noun;2POSS.SG;GEN;RELAT.PL;PL;DAT/ESS
attaivi	atta+i-i-ve	noun;3POSS.SG;GEN
attanōva	att-an-o-eva	verb;an;MOD.PAT;POT
attubadenež	att+o+bade-ne-ž	noun;RELAT.SG;ERG
attāne	atta+ni	noun;ABS
attānima	atta+ni=ma	noun;ABS;CON
atḫalve	atḫalve	noun;ABS
au	aō	INTJ
auliž	aoli-ž	noun;ERG
ava	avi-a	noun;ESS
ava	av-a	verb;INT
avallivena	av+al+i-ne-ve-ne-a	noun;RELAT.SG;GEN;RELAT.SG;ESS
avalġa	av+al+ġe-a	noun;ESS
avarrašta	avari-na-až-da	noun;RELAT.PL;PL;DIR
avarri	avari-ne	noun;ABL/INS
avarribi	avari-ne-ve	noun;RELAT.SG;GEN
avarribina	avari-ne-ve-na	noun;RELAT.SG;GEN;RELAT.PL.ABS
avaštiž	av-ašt-i-ež	verb;RES;MOD.AG;OPT
aveda	ave-da	PRON;DIR
avena	ave-na	noun;RELAT.PL.ABS
avi	avi	POST
avida	avi-i-da	noun;3POSS.SG;DIR
avālġi	av+al+ġe	noun;ABS
avāštum	av-ašt-o-m	verb;RES;TR.PFV;3A.SG
awfa	auwi-a	noun;ESS
awfa	a-u-a	verb;MED;3A.SG
awtaluman	audalumma=n	noun;ABS;3SG.ABS
awtuwi	audūi	noun;ABS
azalda	az+al+di-a	noun;ESS
azalda	az-al-d-a	verb;al;d;INT
azaldili	az-al-d-i-le	verb;al;d;MOD.AG;1JUSS
azaldēda	az-al-d-ed-a	verb;al;d;FUT;3A.SG
azallaenen	azallae-ne-n	noun;RELAT.SG;ABL/INS
azallin	azali-ne-e=n	noun;RELAT.SG;DIR/LOC;3SG.ABS
azallin	az-al-i-le=n	verb;al;MOD.AG;1JUSS;3SG.ABS
azamaruliēž	az-am-ar-o-l-ež	verb;FACT;ITER;MOD.PAT;l;OPT
aziri	assīri	noun;ABS
azusḫa	azusḫi-a	noun;ESS
azusḫi	azusḫi	noun;ABS
azāštum	az-ašt-o-m	verb;RES;TR.PFV;3A.SG
aēššam	ave-ž=nna=m	PRON;ERG;3SG.ABS;CON
aēššam	aēšši-a=m	noun;ESS;2SG.ABS
aġarrež	aġri-ne-ž	noun;RELAT.SG;ERG
aġarri	aġarri	noun;ABS
aġarribi	aġri-ne-ve	noun;RELAT.SG;GEN
aġarribināža	aġri-ne-ve-na-až-a	noun;RELAT.SG;GEN;RELAT.PL;PL;DAT/ESS
aġarribāe	aġri-ne-ve-ae	noun;RELAT.SG;GEN;INS
aġarrēba	aġri-ne-va	noun;RELAT.SG;DAT
aġarrēbuž	aġri-ne-ve-ož	noun;RELAT.SG;GEN;EQU
aġarrēl	aġri-ne-ž=l	noun;RELAT.SG;ERG;3PL.ABS
aġaštedab	aʾ-ašt-ed-aw	verb;RES;FUT;1A.SG
aġrinninibinida	aġr+i+nni-ne-ve-ne-da	noun;RELAT.SG;GEN;RELAT.SG;DIR
aġrušḫini	aġr+o+šḫe-ne	noun;ABL/INS
aġrāid	aġri-ae=d	noun;INS;1SG.ABS
aġrāid	aġrā-i=d	verb;ANTIP;1SG.ABS
aġuina	aġui-na	noun;RELAT.PL.ABS
aġāštedu	aʾ-ašt-ed-o	verb;RES;FUT;2A.SG
aīb	ai=m	CONJ;2SG.ABS
aīmma	ai=mma	CONJ;2SG.ABS
aīn	ai=n	CONJ;3SG.ABS
aōl	aō=l	INTJ;3PL.ABS
aškili	ašk-i-le	verb;MOD.AG;1JUSS
aškōlāe	ašk-o-l-ai	verb;MOD.PAT;l;PURP
ašteniva	āšte-ne-va	noun;RELAT.SG;DAT
aštenna	āšte-nna	noun;EQU2
aštuḫḫina	ašt+o+ḫḫe-na	ADJ;RELAT.PL.ABS
aštuḫḫinažuž	ašt+o+ḫḫe-na-až-ož	ADJ;RELAT.PL;PL;ERG
aštuḫḫinažāi	ašt+o+ḫḫe-na-až-ve-ae	ADJ;RELAT.PL;PL;GEN;INS
aštuḫḫināža	ašt+o+ḫḫe-na-až-a	ADJ;RELAT.PL;PL;DAT/ESS
aštuḫḫāe	ašt+o+ḫḫe-ae	ADJ;INS
aštāgabi	aštaga-ve	noun;GEN
aštēna	āšte-na	noun;RELAT.PL.ABS
ašḫaštaġe	ašḫ+ašt+a+ḫḫe	noun;ABS
ašḫu	ašḫo	ADV
ašḫudan	ašḫo-da=an	noun;DIR;CON
ašḫuidan	ašḫo-i-dan	noun;3POSS.SG;ABL
ašḫunilla	ašḫo-ne-e=lla	noun;RELAT.SG;DIR/LOC;3PL.ABS
ašḫuwe	āšḫo+e	ADV
ašḫužekkunni	āšḫ+ož+i+kk+o+nni	noun;ABS
ašḫužikkuninibi	āšḫ+ož+i+kk+o+nni-ne-ve	noun;RELAT.SG;GEN
ašḫužikkunniba	āšḫ+ož+i+kk+o+nni-va	noun;DAT
ašḫužikkunnibi	āšḫ+ož+i+kk+o+nni-ve	noun;GEN
ašḫužikkunnida	āšḫ+ož+i+kk+o+nni-da	noun;DIR
ašḫužikkunnima	āšḫ+ož+i+kk+o+nni=ma	noun;ABS;CON
ašḫužikkunniniba	āšḫ+ož+i+kk+o+nni-ne-va	noun;RELAT.SG;DAT
ašḫō	āšḫ-o	verb;MOD.PAT
ašḫōnan	ašḫo-n=an	noun;ABL/INS;CON
ažammu	až-amm-o	verb;FACT;2A.SG
ažamri	ažamri	noun;ABS
ažanub	až-an-o-m	verb;an;TR.PFV;3A.SG
ažarbaššina	až+arb+a+šše-na	noun;RELAT.PL.ABS
ažaštedō	až-ašt-ed-aw	verb;RES;FUT;1A.SG
ažaštib	až-ašt-i-b	verb;RES;ANTIP;b
ažaštilib	až-ašt-i-le=m	verb;RES;MOD.AG;1JUSS;CON
ažia	až-i-a	verb;TR;3A.SG
ažiwlai	ažiuli-ae	noun;INS
ažiwlai	aži-o-l-ai	verb;MOD.PAT;l;PURP
ažiġi	až+i+ġe	noun;ABS
ažmunigalōn	ažmo.nigalō=n	noun;ABS;3SG.ABS
ažugallēni	ažugali-ne-ne	noun;RELAT.SG;ABL/INS
ažulain	až-o-l-ai-n	verb;MOD.PAT;l;PURP;n
ažurež	až-o-re-i-ž	verb;PAT;PTCP;3POSS.SG;ERG
ažuri	až-o-re	verb;PAT;PTCP.ABS
ažuġiniva	až+oġi-ne-ve-a	noun;RELAT.SG;GEN;ESS
ažužellandin	až+ož-ill-and-i-n	verb;ill;PL.A;MOD.AG;n
ažāl	aži-a=l	noun;ESS;3PL.ABS
ažānēdāw	až-an-ed-aw	verb;an;FUT;1A.SG
ažōla	až-ol-a	verb;ol;3A.SG
ažōġinel	až+oġi-ne-ž=l	noun;RELAT.SG;ERG;3PL.ABS
ažōġini	až+oġi-ne-e	noun;RELAT.SG;DIR/LOC
ažōġiž	ažōġi-i-ž	noun;3POSS.SG;ERG
ažōġiž	až-oġ-i-ež	verb;oġ;MOD.AG;OPT
ebirna	ever+ni-a	noun;ESS
ebirni	ever+ni	noun;ABS
ebrež	evri-ž	noun;ERG
ebri	evri	noun;ABS
ebrida	evri-i-da	noun;3POSS.SG;DIR
ebāe	ebi-ae	noun;INS
ebāni	ebāni	noun;ABS
eda	idi-a	noun;ESS
eda	ed-a	verb;INT
edežūda	idi-ž-oda	noun;2POSS.PL;DIR
ediaža	idi-i-až-a	noun;3POSS.SG;PL;DAT/ESS
edida	idi-i-da	noun;3POSS.SG;DIR
edukku	ed-o-kko	verb;INT;NEG
egai	egi-ae	noun;INS
egennin	ege+nni-n	noun;ABL/INS
egi	egi	PREP
egi	egi	noun;ABS
egi	eg-i	verb;ANTIP
egina	egi-na	noun;RELAT.PL.ABS
egini	egi-ne	noun;ABL/INS
eginiž	egi-ne-ž	noun;RELAT.SG;ERG
eginniniž	ege+nni-ne-ž	noun;RELAT.SG;ERG
egināžuž	egi-na-až-ož	noun;RELAT.PL;PL;ERG
egiptu	egib-id-o	verb;PL.A;TR.PFV
egudutki	eg+ud+ut+ki	noun;ABS
egunna	eg+o+nni-a	ADJ;ESS
egunni	eg+o+nni	ADJ;ABS
egunninin	eg+o+nni-ne-n	ADJ;RELAT.SG;ABL/INS
egunniž	eg+o+nni-ž	ADJ;ERG
eguššellandin	eg+o+šš-ill-and-i-n	verb;ill;PL.A;MOD.AG;n
egušši	eg+o+šše	noun;ABS
egušši	eg+o+šš-i	verb;ANTIP
eguššina	eg+o+šše-na	noun;RELAT.PL.ABS
eguššinaža	eg+o+šše-na-až-a	noun;RELAT.PL;PL;DAT/ESS
eguššinažuž	eg+o+šše-na-až-ož	noun;RELAT.PL;PL;ERG
eguššulāež	eg+o+šš-o-l-ai-ž	verb;MOD.PAT;l;PURP;ž
eguššulāi	eg+o+šš-o-l-ai	verb;MOD.PAT;l;PURP
eguššulēž	eg+o+šš-o-l-ež	verb;MOD.PAT;l;OPT
eguššumaella	eg+o+šš-o+m+ai=lla	verb;CVB;3PL.ABS
eguššummi	eg+o+šš-umme	verb;INF.ABS
eguššuž	eg+o+šš-o-ež	verb;MOD.PAT;OPT
eguššužilandin	eg+o+šš-ož-ill-and-i-n	verb;ož;ill;PL.A;MOD.AG;n
eguššāe	eg+o+šše-ae	noun;INS
egužri	egužri	noun;ABS
egōna	eg+ō+ni-a	ADJ;ESS
egōna	eg-on-a	verb;on;3A.SG
egōššōla	eg+o+šš-ol-a	verb;ol;3A.SG
ela	eli-a	noun;ESS
elabae	ela-ve-ae	noun;GEN;INS
elaminēve	elami-ne-ve	noun;RELAT.SG;GEN
elamirġena	elm+ir+ġe-na	noun;RELAT.PL.ABS
elinibād	ele-ne-va=d	noun;RELAT.SG;DAT;1SG.ABS
eliškaella	eliški-ae=lla	noun;INS;3PL.ABS
ellaža	ela-na-až-a	noun;RELAT.PL;PL;DAT/ESS
elmi	elmi	noun;ABS
elminida	elmi-ne-da	noun;RELAT.SG;DIR
elmāi	elmi-ae	noun;INS
elmēġi	elm+ē+ġe	noun;ABS
elōrula	elōruli-a	noun;ESS
emašše	eman+že	NUM;ABS
emaššeni	eman+že-ne	NUM;ABL/INS
enad	eni-a=d	noun;ESS;1SG.ABS
enad	en-a=d	verb;INT;1SG.ABS
enaražāe	en+ar+a+že-ae	noun;INS
enarġalla	en+ar+ġe-a=lla	noun;ESS;3PL.ABS
ene	eni	noun;ABS
enež	eni-ž	noun;ERG
enigaldi	ennigaldi	noun;ABS
enima	eni=ma	noun;ABS;CON
enitḫarra	en+i+tḫ+ar+i-na	noun;RELAT.PL.ABS
ennida	enni-da	noun;DIR
enudōbin	en+ud+ōbi-n	noun;ABL/INS
enudōbin	en+ud-o-va-en	verb;MOD.PAT;NEG;3JUSS
enummē	enummē	ADV
enāe	eni-ae	noun;INS
erade	erade	noun;ABS
eradiniž	erade-ne-ž	noun;RELAT.SG;ERG
eradāe	erade-ae	noun;INS
erižangāe	erižangi-ae	noun;INS
erāna	er+āna	noun;ABS
erānalla	er+āna=lla	noun;ABS;3PL.ABS
erōliva	er-o-l-eva	verb;MOD.PAT;l;POT
evarip⸢fa?⸣an	evari-iffe-a=an	noun;1POSS.SG;ESS;CON
evarži	ev+ar+že	noun;ABS
everinžippininim	evr+in+že-v-ve-ne-ne=m	noun;2POSS.SG;GEN;RELAT.SG;ABL/INS;CON
eġari	eġari	noun;ABS
eġarribinidal	eġari-ne-ve-ne-da=l	noun;RELAT.SG;GEN;RELAT.SG;DIR;3PL.ABS
eġepšullima	eġ+epš-ulli=ma	verb;ulli;CON
eġilli⸢fa⸣ašša	eġl-i-l-eva-ž=nna	verb;MOD.AG;l;POT;ž;3SG.ABS
eġinen	eġi-ne-n	noun;RELAT.SG;ABL/INS
eġlianaž	eġli+ana-ž	noun;ERG
eġlibi	eġli-ve	noun;GEN
eġlibina	eġli-ve-na	noun;GEN;RELAT.PL.ABS
eġlibinibina	eġli-ve-ne-ve-na	noun;GEN;RELAT.SG;GEN;RELAT.PL.ABS
eġlibinibināža	eġli-ve-ne-ve-na-až-a	noun;GEN;RELAT.SG;GEN;RELAT.PL;PL;DAT/ESS
eġlibinida	eġli-ve-ne-da	noun;GEN;RELAT.SG;DIR
eġliġi	eġl+i+ġe	noun;ABS
eškarri	ešk+ar+i-ne	noun;ABL/INS
eškāve	eškāve	noun;ABS
eššaeni	eššae-ne	noun;ABL/INS
eža	eže-a	noun;ESS
eže	eže	noun;ABS
ežebābušša	ežeb.ābu-ž=nna	noun;ERG;3SG.ABS
ežena	eže-na	noun;RELAT.PL.ABS
ežene	eže-ne	noun;ABL/INS
eženibi	eže-ne-ve	noun;RELAT.SG;GEN
eženiva	eže-ne-va	noun;RELAT.SG;DAT
eženišša	eže-ne-ž=nna	noun;RELAT.SG;ERG;3SG.ABS
eževabun	ežeb.ābu=n	noun;ABS;3SG.ABS
ežežal	ežeži-a=l	noun;ESS;3PL.ABS
ežuġnež	ižuġ+ni-ž	noun;ERG
ežuġni	ižuġ+ni	noun;ABS
ežābēma	iža-ve=ma	noun;GEN;CON
fadeġib	fadeġi-v	noun;2POSS.SG.ABS
fadeġib	fad-eġ-i-b	verb;eġ;ANTIP;b
faeli	faeli	noun;ABS
faeli	fael-i	verb;TR.IMP
faikkimān	fa-i-kki=mān	verb;ANTIP;NEG;CON
falukku	fal-o-kko	verb;INT;NEG
fandani	fand+a+ni	noun;ABS
fandarinināma	fand+ar+i+nni-na=ma	noun;RELAT.PL.ABS;CON
fandin	fandi+n	ADV
farinināma	uw+ar+i+nni-na=ma	noun;RELAT.PL.ABS;CON
farižanna	pār-iž-a=nna	verb;iž;INT;3SG.ABS
favanašta	paba+ni-na-až-da	noun;RELAT.PL;PL;DIR
faġraži	faġr+a+že	ADJ;ABS
faġruwāde	faġr+o+vāde	ADJ;ABS
faġruža	faġr+o+že-a	ADJ;ESS
faġruži	faġr+o+že	ADJ;ABS
faġrāma	faġri-a=ma	noun;ESS;CON
faštu	fašt-o	verb;MOD.PAT
faššara	fašš+ar+i-a	noun;ESS
faššara	fašš-ar-a	verb;ITER;3A.SG
fašši	fašši	noun;ABS
fašši	fašš-i	verb;ANTIP
fažab	faž-a-b	verb;INT;b
fažamma	fāži-a=mma	noun;ESS;2SG.ABS
fažamma	faž-a=mma	verb;INT;2SG.ABS
fažumai	faž-o+m+ai	verb;CVB
fažēda	faž-ed-a	verb;FUT;3A.SG
fažūlima	faž+ūli=ma	noun;ABS;CON
fažūlima	faž-ul-i=ma	verb;ul;ANTIP;CON
fa⸣suranni	faz+ur+a+nni	noun;ABS
fel	fē-lla	PRON;PL.ABS
felzab	felz-a-b	verb;INT;b
fenda	fendi-a	noun;ESS
fenda	pend-a	verb;INT
feva	fē-va	PRON;DAT
firiški	fir+iški	noun;ABS
fitfa	fitfi-a	noun;ESS
fitfa	fitf-a	verb;INT
fiwta	fē-oda	PRON;DIR
fižaišfinel	fižaišfi-ne=l	noun;ABL/INS;3PL.ABS
fodiġi	fod+i+ġe	noun;ABS
foglāla	fogl-al-a	verb;al;3A.SG
fogugari	fog+ugar+i	noun;ABS
